Chainage,PD,RL,Remarks
,18.7939307421953,1301.421,
,29.6548856709518,1302.794,
,42.5847511305469,1305.008,
,50,1306.569,
125.000,-39.88,1306.256,
,-38.8786597356144,1306.229,
,-33.5681007561406,1306.111,
,-28.3154130477236,1305.869,
,-27.697170193935,1305.723,
,-26.1929444249917,1305.087,
,-22.8768243397277,1304.175,
,-18.1333810280793,1303.319,
,-13.0299860348906,1301.666,
,-10.3914671440066,1300.728,
,-0.663744564267716,1299.962,
,0,1299.967,
,0.592507460256783,1299.972,
,5.76303318628712,1300.626,
,8.09001007862207,1301.024,
,31.5325901341499,1305.959,
,33.1271139833904,1306.469,
,37.7138397090836,1307.318,
150.000,-30.01,1305.592,
,-27.1172135020305,1305.480,
,-24.8891253752146,1304.517,
,-23.5196232678374,1304.054,
,-20.8776933009263,1303.084,
,-20.2253295151886,1302.814,
,-17.5799589094392,1301.808,
,-7.22133780591969,1301.426,
,0,1300.953,
,0.198065939001083,1300.940,
,3.67615761811326,1302.908,
,15.4405208412556,1305.313,
,18.1594973190837,1306.156,
,20.1795996935187,1306.518,
171.720,-50.00,.000,
