Chainage,RL,Remarks
0,1294.8996392613,
0.675150801628221,1294.78978832207,
0.959775904926169,1294.7890886965,
5.20032116595656,1294.95723373108,
5.42470608885507,1294.99351833681,
6.07300738385721,1295.09546910495,
7.10314860123233,1295.2371760936,
10.7477196854908,1296.03778104672,
13.8689593912142,1296.0644973767,
14.1585458870627,1296.03071898416,
17.5079178638555,1296.20232854819,
24.3040913868332,1296.4420536384,
25,1296.4640926163,
35.9540395835185,1296.811,
41.918526510662,1297.07727227211,
42.5883834843098,1297.13013442272,
43.2204215056541,1297.2147172067,
45.7387385450125,1297.2229262249,
49.3165987958833,1297.43024745477,
50,1297.51710443981,
53.6512177374839,1297.98115654056,
60.7208664829442,1298.99558979457,
66.170089565778,1299.80540416095,
70.5886765224876,1299.79165244708,
75,1299.74455756266,
86.0200458703123,1299.62690856475,
100,1299.50210095209,
101.698433260047,1299.48693799816,
108.633136537165,1299.3564444254,
110.79250384931,1299.5059778852,
125,1299.96740206315,
126.003707834276,1300,
127.344855436608,1300.04188845952,
130.707288713701,1300.24470792645,
130.969068904981,1300.23603208802,
144.819527435505,1300.79664465872,
150,1300.95291288082,
151.273420363778,1300.99999999998,
156.815931817955,1301.35974220392,
159.593676313819,1301.93306508589,
161.66048706262,1302.93141876587,
163.728389433904,1303.93141876589,
163.823891885603,1303.97549477375,
165.589971694759,1304.88392372707,
165.766258505497,1304.92733134572,
165.882321403756,1304.97177792203,
168.448420947235,1305.9420894599,
168.560406530273,1305.96615930123,
171.720438658302,0,
